Protein,Order,SampleName,LabRep,LabBlock,MaltPlant,MaltRep,MaltTime,malttime,abundance,abundance.sc,abundance.scOut
HORVU1Hr1G070690.2,3,aBP11,2,1,2,1,133.5,133.5,58452.35601,58.45235601,58.45235601
HORVU1Hr1G072060.1,3,aBP11,2,1,2,1,133.5,133.5,61889.79776,61.88979776,61.88979776
HORVU1Hr1G072220.5,3,aBP11,2,1,2,1,133.5,133.5,69729.91078,69.72991078,69.72991078
HORVU1Hr1G072270.7,3,aBP11,2,1,2,1,133.5,133.5,75582.27415,75.58227415,75.58227415
HORVU1Hr1G072780.5,3,aBP11,2,1,2,1,133.5,133.5,19371.93278,19.37193278,19.37193278
HORVU1Hr1G073640.1,3,aBP11,2,1,2,1,133.5,133.5,90355.22122,90.35522122,90.35522122
HORVU1Hr1G074350.2,3,aBP11,2,1,2,1,133.5,133.5,46802.14783,46.80214783,46.80214783
HORVU1Hr1G075150.4,3,aBP11,2,1,2,1,133.5,133.5,6713.503515,6.713503515,6.713503515
HORVU1Hr1G076190.4,3,aBP11,2,1,2,1,133.5,133.5,34834.47157,34.83447157,34.83447157
HORVU1Hr1G078350.8,3,aBP11,2,1,2,1,133.5,133.5,2223.437271,2.223437271,2.223437271
HORVU1Hr1G079070.6,3,aBP11,2,1,2,1,133.5,133.5,51459.94659,51.45994659,51.45994659
HORVU1Hr1G079280.4,3,aBP11,2,1,2,1,133.5,133.5,50487.21131,50.48721131,50.48721131
HORVU1Hr1G079290.4,3,aBP11,2,1,2,1,133.5,133.5,127457.9463,127.4579463,127.4579463
HORVU1Hr1G080370.7,3,aBP11,2,1,2,1,133.5,133.5,14919.79751,14.91979751,14.91979751
HORVU1Hr1G080980.2,3,aBP11,2,1,2,1,133.5,133.5,2283.310285,2.283310285,2.283310285
HORVU1Hr1G081550.2,3,aBP11,2,1,2,1,133.5,133.5,35505.27182,35.50527182,35.50527182
HORVU1Hr1G082820.2,3,aBP11,2,1,2,1,133.5,133.5,51674.96089,51.67496089,51.67496089
HORVU1Hr1G083710.2,3,aBP11,2,1,2,1,133.5,133.5,3278.006521,3.278006521,3.278006521
HORVU1Hr1G083840.2,3,aBP11,2,1,2,1,133.5,133.5,161234.1271,161.2341271,161.2341271
HORVU1Hr1G087690.3,3,aBP11,2,1,2,1,133.5,133.5,56998.50063,56.99850063,56.99850063
HORVU1Hr1G087800.2,3,aBP11,2,1,2,1,133.5,133.5,142217.8284,142.2178284,142.2178284
HORVU1Hr1G087820.1,3,aBP11,2,1,2,1,133.5,133.5,43648.72486,43.64872486,43.64872486
HORVU1Hr1G089360.5,3,aBP11,2,1,2,1,133.5,133.5,11655.04038,11.65504038,11.65504038
HORVU1Hr1G090490.8,3,aBP11,2,1,2,1,133.5,133.5,72154.54571,72.15454571,72.15454571
HORVU1Hr1G090710.9,3,aBP11,2,1,2,1,133.5,133.5,36001.84785,36.00184785,36.00184785
HORVU1Hr1G090720.1,3,aBP11,2,1,2,1,133.5,133.5,982.6219913,0.982621991,0.982621991
